,c1qb,Case.ID,Sample.ID
664,865986.224077,TCGA-A2-A25E,TCGA-A2-A25E-01A
665,255327.223154,TCGA-A2-A04R,TCGA-A2-A04R-01A
666,3788461.35738,TCGA-OL-A5S0,TCGA-OL-A5S0-01A
667,1369756.2419200002,TCGA-C8-A12Q,TCGA-C8-A12Q-01A
668,1139175.7027200002,TCGA-BH-A0BO,TCGA-BH-A0BO-01A
669,1791256.48246,TCGA-BH-A1FC,TCGA-BH-A1FC-11A
670,341581.212254,TCGA-BH-A1ES,TCGA-BH-A1ES-01A
671,1000031.41755,TCGA-B6-A1KC,TCGA-B6-A1KC-01B
672,1126149.15246,TCGA-D8-A1JJ,TCGA-D8-A1JJ-01A
673,1322728.8106,TCGA-AR-A1AM,TCGA-AR-A1AM-01A
674,364757.351147,TCGA-E2-A15F,TCGA-E2-A15F-01A
675,4435073.383,TCGA-A2-A3XT,TCGA-A2-A3XT-01A
676,575135.589761,TCGA-A8-A08O,TCGA-A8-A08O-01A
677,2831892.38126,TCGA-E9-A22A,TCGA-E9-A22A-01A
678,594983.204724,TCGA-BH-A0EE,TCGA-BH-A0EE-01A
679,4342282.77231,TCGA-AR-A1AW,TCGA-AR-A1AW-01A
680,3145509.04121,TCGA-BH-A1FC,TCGA-BH-A1FC-01A
681,1362068.58973,TCGA-E2-A1B5,TCGA-E2-A1B5-01A
682,1410362.61108,TCGA-BH-A1FB,TCGA-BH-A1FB-01A
683,565906.358429,TCGA-S3-AA12,TCGA-S3-AA12-01A
684,965824.81221,TCGA-A2-A0YL,TCGA-A2-A0YL-01A
685,1990285.71766,TCGA-A8-A090,TCGA-A8-A090-01A
686,3811649.62146,TCGA-OL-A66L,TCGA-OL-A66L-01A
687,4102118.98865,TCGA-A8-A096,TCGA-A8-A096-01A
688,1433980.01893,TCGA-A2-A1G6,TCGA-A2-A1G6-01A
689,449821.530948,TCGA-BH-A0W4,TCGA-BH-A0W4-01A
690,1137672.58423,TCGA-D8-A1JI,TCGA-D8-A1JI-01A
691,6657827.63079,TCGA-C8-A12K,TCGA-C8-A12K-01A
692,2849928.71733,TCGA-E2-A1B6,TCGA-E2-A1B6-01A
693,1208253.6844799998,TCGA-BH-A0B7,TCGA-BH-A0B7-01A
694,891209.262471,TCGA-A7-A26E,TCGA-A7-A26E-01A
695,1549638.0414,TCGA-BH-A1EV,TCGA-BH-A1EV-11A
696,680365.941003,TCGA-BH-A0BV,TCGA-BH-A0BV-11A
697,660039.502397,TCGA-BH-A0BS,TCGA-BH-A0BS-11A
698,784238.2571439998,TCGA-E2-A56Z,TCGA-E2-A56Z-01A
699,3685965.16457,TCGA-AC-A6IV,TCGA-AC-A6IV-01A
700,1085606.50417,TCGA-A1-A0SM,TCGA-A1-A0SM-01A
701,3582198.21221,TCGA-EW-A423,TCGA-EW-A423-01A
702,3636265.41295,TCGA-A7-A0CH,TCGA-A7-A0CH-11A
703,857429.690679,TCGA-A7-A426,TCGA-A7-A426-01A
704,1783165.71179,TCGA-BH-A1F8,TCGA-BH-A1F8-11B
705,1407613.0648,TCGA-AR-A24O,TCGA-AR-A24O-01A
706,1597076.25615,TCGA-LD-A66U,TCGA-LD-A66U-01A
707,871408.8752649998,TCGA-LL-A441,TCGA-LL-A441-01A
708,7324294.75314,TCGA-S3-AA10,TCGA-S3-AA10-01A
709,4666201.27126,TCGA-A8-A09Z,TCGA-A8-A09Z-01A
710,3658707.66154,TCGA-AN-A0AJ,TCGA-AN-A0AJ-01A
711,1213457.09491,TCGA-A2-A0CZ,TCGA-A2-A0CZ-01A
712,729315.059758,TCGA-AR-A0U3,TCGA-AR-A0U3-01A
713,1544088.81325,TCGA-A2-A0YK,TCGA-A2-A0YK-01A
714,1589596.3899,TCGA-A2-A0T4,TCGA-A2-A0T4-01A
715,4671919.27875,TCGA-AR-A1AO,TCGA-AR-A1AO-01A
716,3221028.98971,TCGA-BH-A0BC,TCGA-BH-A0BC-01A
717,1236195.23202,TCGA-E2-A150,TCGA-E2-A150-01A
718,1911663.38956,TCGA-A2-A3XX,TCGA-A2-A3XX-01A
719,758547.4207,TCGA-A8-A07G,TCGA-A8-A07G-01A
720,4324699.60128,TCGA-D8-A1XW,TCGA-D8-A1XW-01A
721,3206847.37044,TCGA-AC-A3W5,TCGA-AC-A3W5-01A
722,2380407.38465,TCGA-A8-A0A6,TCGA-A8-A0A6-01A
723,339688.17901900003,TCGA-A8-A09V,TCGA-A8-A09V-01A
724,626679.5763,TCGA-UU-A93S,TCGA-UU-A93S-01A
725,494473.440175,TCGA-C8-A274,TCGA-C8-A274-01A
726,386734.338942,TCGA-BH-A0C0,TCGA-BH-A0C0-11A
727,1085924.94438,TCGA-GM-A3NW,TCGA-GM-A3NW-01A
728,1189286.68083,TCGA-A2-A0EO,TCGA-A2-A0EO-01A
729,3472283.15259,TCGA-LL-A442,TCGA-LL-A442-01A
730,763306.058904,TCGA-E2-A1L6,TCGA-E2-A1L6-01A
731,625341.011985,TCGA-S3-AA14,TCGA-S3-AA14-01A
732,642034.796004,TCGA-C8-A3M7,TCGA-C8-A3M7-01A
733,3418750.49359,TCGA-A7-A6VY,TCGA-A7-A6VY-01A
734,762697.950617,TCGA-A2-A04V,TCGA-A2-A04V-01A
735,509014.845198,TCGA-AN-A0XV,TCGA-AN-A0XV-01A
736,1312212.9359,TCGA-B6-A0I5,TCGA-B6-A0I5-01A
737,3348226.137640001,TCGA-A7-A0DB,TCGA-A7-A0DB-01A
738,1852438.11659,TCGA-E9-A1NA,TCGA-E9-A1NA-01A
739,538215.833058,TCGA-AC-A2BK,TCGA-AC-A2BK-01A
740,5934494.28778,TCGA-AR-A1AJ,TCGA-AR-A1AJ-01A
741,934894.070505,TCGA-S3-A6ZH,TCGA-S3-A6ZH-01A
742,1116451.07133,TCGA-A7-A4SE,TCGA-A7-A4SE-01A
743,4538151.73632,TCGA-A2-A04X,TCGA-A2-A04X-01A
744,3665428.52207,TCGA-A8-A094,TCGA-A8-A094-01A
745,823380.4148649998,TCGA-E2-A1IO,TCGA-E2-A1IO-01A
746,5735816.610880001,TCGA-AN-A0XW,TCGA-AN-A0XW-01A
747,1662768.34698,TCGA-EW-A2FV,TCGA-EW-A2FV-01A
748,1234068.00404,TCGA-BH-A1EU,TCGA-BH-A1EU-11A
749,1212703.4528,TCGA-AR-A24Q,TCGA-AR-A24Q-01A
750,1655498.30192,TCGA-AN-A0FN,TCGA-AN-A0FN-01A
751,1998099.0142,TCGA-BH-A42U,TCGA-BH-A42U-01A
752,950213.490104,TCGA-D8-A1XU,TCGA-D8-A1XU-01A
753,564276.352012,TCGA-D8-A1XB,TCGA-D8-A1XB-01A
754,3759979.29974,TCGA-AR-A24S,TCGA-AR-A24S-01A
755,3450663.21805,TCGA-AR-A2LH,TCGA-AR-A2LH-01A
756,3696754.94872,TCGA-EW-A1P8,TCGA-EW-A1P8-01A
757,1407843.93135,TCGA-A1-A0SQ,TCGA-A1-A0SQ-01A
758,666711.652401,TCGA-BH-A0H9,TCGA-BH-A0H9-01A
759,667933.555275,TCGA-E2-A14X,TCGA-E2-A14X-01A
760,1118757.88366,TCGA-C8-A12L,TCGA-C8-A12L-01A
761,1878686.482,TCGA-C8-A134,TCGA-C8-A134-01A
762,1767047.28344,TCGA-BH-A1EO,TCGA-BH-A1EO-01A
763,388149.701539,TCGA-A2-A0D1,TCGA-A2-A0D1-01A
764,1404762.69184,TCGA-AR-A2LN,TCGA-AR-A2LN-01A
765,471819.717596,TCGA-D8-A73X,TCGA-D8-A73X-01A
766,1574116.98334,TCGA-A2-A3XY,TCGA-A2-A3XY-01A
767,436024.175512,TCGA-D8-A3Z5,TCGA-D8-A3Z5-01A
768,8306423.00188,TCGA-BH-A18V,TCGA-BH-A18V-06A
769,255673.537372,TCGA-A7-A0DB,TCGA-A7-A0DB-01C
770,956596.901065,TCGA-AR-A251,TCGA-AR-A251-01A
771,499732.454031,TCGA-LL-A73Y,TCGA-LL-A73Y-01A
772,780392.869114,TCGA-GM-A2DC,TCGA-GM-A2DC-01A
773,3253385.24875,TCGA-E9-A6HE,TCGA-E9-A6HE-01A
774,2288644.48939,TCGA-D8-A1JE,TCGA-D8-A1JE-01A
775,2526224.27863,TCGA-A8-A08X,TCGA-A8-A08X-01A
776,3376388.0866,TCGA-AR-A0U0,TCGA-AR-A0U0-01A
777,892662.424967,TCGA-A8-A099,TCGA-A8-A099-01A
778,504173.332395,TCGA-E2-A570,TCGA-E2-A570-01A
779,1350438.2291,TCGA-BH-A0DV,TCGA-BH-A0DV-01A
780,5037319.30134,TCGA-A2-A04Q,TCGA-A2-A04Q-01A
781,948563.453348,TCGA-A1-A0SF,TCGA-A1-A0SF-01A
782,1896026.2373,TCGA-3C-AALJ,TCGA-3C-AALJ-01A
783,4037568.8003300005,TCGA-GM-A2DD,TCGA-GM-A2DD-01A
784,844931.132285,TCGA-B6-A401,TCGA-B6-A401-01A
785,1146685.33623,TCGA-E2-A15K,TCGA-E2-A15K-01A
786,432624.85121800005,TCGA-AO-A0J7,TCGA-AO-A0J7-01A
787,527849.5710390001,TCGA-BH-A0AU,TCGA-BH-A0AU-11A
788,2193839.96317,TCGA-E9-A1RC,TCGA-E9-A1RC-11A
789,1364402.59101,TCGA-BH-A0BW,TCGA-BH-A0BW-11A
790,2383916.25162,TCGA-E9-A24A,TCGA-E9-A24A-01A
791,3315218.32665,TCGA-A7-A6VW,TCGA-A7-A6VW-01A
792,979746.200944,TCGA-E9-A1R6,TCGA-E9-A1R6-01A
793,2738139.53272,TCGA-B6-A0RS,TCGA-B6-A0RS-01A
794,3580244.39439,TCGA-LD-A74U,TCGA-LD-A74U-01A
795,2330243.97678,TCGA-GI-A2C9,TCGA-GI-A2C9-11A
